"ticker","transaction","cost_share","number_shares","total_value","datetime","date","time"
"OSUR","Buy",2.37,"2,100","4,982","Dec 02 04:16 PM","2025-12-02","16:16:00"
"TEAM","Buy",148.03,"1,672","247,506","Dec 02 04:15 PM","2025-12-02","16:15:00"
"BMEA","Buy",1.1,"40,000","44,052","Dec 02 04:15 PM","2025-12-02","16:15:00"
"BMEA","Buy",1.05,"10,000","10,500","Dec 02 04:15 PM","2025-12-02","16:15:00"
"LFT","Buy",1.61,"10,000","16,055","Dec 02 04:10 PM","2025-12-02","16:10:00"
"FLD","Buy",3.12,"8,100","25,308","Dec 02 04:10 PM","2025-12-02","16:10:00"
"FRD","Buy",20.05,"500","10,025","Dec 02 02:58 PM","2025-12-02","14:58:00"
"FRD","Buy",20.27,"500","10,135","Dec 02 02:58 PM","2025-12-02","14:58:00"
"RCG","Buy",2.52,"360","907","Dec 02 02:16 PM","2025-12-02","14:16:00"
"RCG","Buy",2.52,"774","1,950","Dec 02 02:16 PM","2025-12-02","14:16:00"
"NWBI","Buy",12.1,"1,500","18,150","Dec 02 12:53 PM","2025-12-02","12:53:00"
"MYSZ","Buy",0.91,"2,600","2,353","Dec 02 12:48 PM","2025-12-02","12:48:00"
"CWBC","Buy",19.19,"159","3,051","Dec 02 12:02 PM","2025-12-02","12:02:00"
"CWBC","Buy",19.19,"84","1,612","Dec 02 12:01 PM","2025-12-02","12:01:00"
"CWBC","Buy",19.19,"75","1,439","Dec 02 12:00 PM","2025-12-02","12:00:00"
"CWBC","Buy",19.19,"316","6,063","Dec 02 11:58 AM","2025-12-02","11:58:00"
"TPL","Buy",866.88,"1","867","Dec 02 11:11 AM","2025-12-02","11:11:00"
"MXF","Buy",19.45,"10,902","212,044","Dec 02 11:06 AM","2025-12-02","11:06:00"
"DSM","Buy",5.9,"27,875","164,462","Dec 02 10:56 AM","2025-12-02","10:56:00"
"GE","Buy",1021.93,"9,785","10,000,000","Dec 02 10:44 AM","2025-12-02","10:44:00"
"ASA","Buy",53.46,"9,560","511,078","Dec 02 10:18 AM","2025-12-02","10:18:00"
"QTTB","Proposed Sale",3.46,"22,506","77,871","Dec 02 04:29 PM","2025-12-02","16:29:00"
"EVC","Proposed Sale",2.75,"21,259","58,474","Dec 02 04:29 PM","2025-12-02","16:29:00"
"CARS","Proposed Sale",11.98,"27,358","327,664","Dec 02 04:28 PM","2025-12-02","16:28:00"
"KVYO","Proposed Sale",28.16,"1,350,000","38,016,000","Dec 02 04:28 PM","2025-12-02","16:28:00"
"V","Proposed Sale",322.9,"7,756","2,504,436","Dec 02 04:28 PM","2025-12-02","16:28:00"
"EQIX","Proposed Sale",733.28,"2,894","2,122,112","Dec 02 04:28 PM","2025-12-02","16:28:00"
"INSP","Proposed Sale",126.34,"1,200","151,608","Dec 02 04:27 PM","2025-12-02","16:27:00"
"FROG","Proposed Sale",59.72,"12,500","746,500","Dec 02 04:27 PM","2025-12-02","16:27:00"
"RMD","Sale",244.16,"50","12,208","Dec 02 04:27 PM","2025-12-02","16:27:00"
"SNA","Proposed Sale",338.47,"22,607","7,651,791","Dec 02 04:27 PM","2025-12-02","16:27:00"
"AXON","Proposed Sale",533.21,"1,797","958,178","Dec 02 04:27 PM","2025-12-02","16:27:00"
"VIK","Proposed Sale",67.28,"94,276","6,342,889","Dec 02 04:26 PM","2025-12-02","16:26:00"
"NN","Proposed Sale",14.05,"69,853","981,435","Dec 02 04:26 PM","2025-12-02","16:26:00"
"GTM","Proposed Sale",10.12,"343","3,471","Dec 02 04:26 PM","2025-12-02","16:26:00"
"NICE","Proposed Sale",106.31,"1,806","191,996","Dec 02 04:25 PM","2025-12-02","16:25:00"
"TDOC","Proposed Sale",7.49,"5,720","42,833","Dec 02 04:25 PM","2025-12-02","16:25:00"
"CYTK","Proposed Sale",66.05,"8,750","577,938","Dec 02 04:25 PM","2025-12-02","16:25:00"
"VIK","Proposed Sale",67.28,"94,276","6,342,889","Dec 02 04:25 PM","2025-12-02","16:25:00"
"WDAY","Proposed Sale",213.35,"82,025","17,500,034","Dec 02 04:25 PM","2025-12-02","16:25:00"
"GTM","Proposed Sale",10.12,"72","729","Dec 02 04:25 PM","2025-12-02","16:25:00"
"CRM","Proposed Sale",234.7,"134,662","31,605,032","Dec 02 04:25 PM","2025-12-02","16:25:00"
"MNKD","Proposed Sale",5.43,"147,780","802,445","Dec 02 04:24 PM","2025-12-02","16:24:00"
"MNKD","Proposed Sale",5.43,"107,920","586,006","Dec 02 04:23 PM","2025-12-02","16:23:00"
"QLYS","Proposed Sale",143.16,"20,908","2,993,189","Dec 02 04:23 PM","2025-12-02","16:23:00"
"POOL","Proposed Sale",245.57,"5,000","1,227,856","Dec 02 04:23 PM","2025-12-02","16:23:00"
"VIK","Proposed Sale",67.28,"211,894","14,256,228","Dec 02 04:23 PM","2025-12-02","16:23:00"
"V","Sale",331.45,"7,556","2,504,436","Dec 02 04:23 PM","2025-12-02","16:23:00"
"MDGL","Proposed Sale",579.45,"4,173","2,418,045","Dec 02 04:23 PM","2025-12-02","16:23:00"
"RMD","Sale",244.16,"1,000","244,160","Dec 02 04:23 PM","2025-12-02","16:23:00"
"WLFC","Proposed Sale",118.35,"6,533","773,181","Dec 02 04:22 PM","2025-12-02","16:22:00"
"STX","Proposed Sale",270.1,"750","202,575","Dec 02 04:22 PM","2025-12-02","16:22:00"
"COIN","Sale",273.28,"1,375","375,756","Dec 02 04:22 PM","2025-12-02","16:22:00"
"SERA","Proposed Sale",3.21,"2,000","6,420","Dec 02 04:22 PM","2025-12-02","16:22:00"
"TDOC","Proposed Sale",7.49,"3,897","29,182","Dec 02 04:22 PM","2025-12-02","16:22:00"
"INDI","Proposed Sale",3.48,"47,597","165,638","Dec 02 04:22 PM","2025-12-02","16:22:00"
"KLIC","Proposed Sale",45,"1,000","45,000","Dec 02 04:22 PM","2025-12-02","16:22:00"
"ACMR","Proposed Sale",33.2,"100,000","3,320,010","Dec 02 04:21 PM","2025-12-02","16:21:00"
"CHWY","Proposed Sale",33.73,"639","21,556","Dec 02 04:20 PM","2025-12-02","16:20:00"
"V","Sale",330.14,"23,743","7,838,626","Dec 02 04:20 PM","2025-12-02","16:20:00"
"PEBK","Proposed Sale",31.85,"300","9,554","Dec 02 04:20 PM","2025-12-02","16:20:00"
"OSCR","Proposed Sale",16.73,"28,737","480,770","Dec 02 04:20 PM","2025-12-02","16:20:00"
"APLD","Sale",26.98,"8,000","215,840","Dec 02 04:20 PM","2025-12-02","16:20:00"
"SPT","Proposed Sale",10.21,"3,550","36,240","Dec 02 04:20 PM","2025-12-02","16:20:00"
